data,valor
2016-06-14,1632.86
2016-06-15,1635.46
2016-06-16,1633.88
2016-06-17,1632.74
2016-06-20,1634.11
2016-06-21,1633.04
2016-06-22,1632.53
2016-06-23,1631.13
2016-06-24,1629.94
2016-06-27,1629.34
2016-06-28,1632.76
2016-06-29,1635.59
2016-06-30,1638.16
2016-07-01,1647.44
2016-07-04,1645.98
2016-07-05,1646.37
2016-07-06,1643.74
2016-07-07,1645.64
2016-07-08,1651.73
2016-07-11,1654.87
2016-07-12,1654.56
2016-07-13,1655.48
2016-07-14,1661.65
2016-07-15,1673.48
2016-07-18,1685.31
2016-07-19,1700.43
2016-07-20,1709.85
2016-07-21,1715.02
2016-07-22,1725.02
2016-07-25,1731.15
2016-07-26,1728.20
2016-07-27,1735.36
2016-07-28,1736.15
2016-07-29,1735.99
2016-08-01,1735.00
2016-08-02,1741.99
2016-08-03,1742.48
2016-08-04,1750.18
2016-08-05,1750.71
2016-08-08,1753.15
2016-08-09,1751.01
2016-08-10,1751.37
2016-08-11,1748.68
2016-08-12,1752.69
2016-08-15,1755.33
2016-08-16,1753.94
2016-08-17,1740.33
2016-08-18,1740.29
2016-08-19,1748.33
2016-08-22,1746.97
2016-08-23,1745.93
2016-08-24,1748.72
2016-08-25,1751.86
2016-08-26,1758.55
2016-08-29,1762.64
2016-08-30,1762.77
2016-08-31,1767.11
2016-09-01,1760.51
2016-09-02,1773.80
2016-09-05,1774.00
2016-09-06,1771.57
2016-09-08,1777.19
2016-09-09,1774.03
2016-09-12,1770.65
2016-09-13,1766.51
2016-09-14,1772.72
2016-09-15,1770.88
2016-09-16,1768.79
2016-09-19,1775.37
2016-09-20,1775.86
2016-09-21,1775.65
2016-09-22,1781.40
2016-09-23,1790.83
2016-09-26,1793.66
2016-09-27,1801.21
2016-09-28,1803.33
2016-09-29,1810.00
2016-09-30,1816.05
2016-10-03,1816.56
2016-10-04,1810.73
2016-10-05,1815.73
2016-10-06,1814.91
2016-10-07,1815.64
2016-10-10,1820.16
2016-10-11,1818.72
2016-10-13,1818.46
2016-10-14,1826.18
2016-10-17,1831.34
2016-10-18,1838.58
2016-10-19,1842.78
2016-10-20,1845.52
2016-10-21,1848.64
2016-10-24,1853.90
2016-10-25,1857.52
2016-10-26,1863.71
2016-10-27,1869.36
2016-10-28,1879.00
2016-10-31,1885.92
2016-11-01,1889.32
2016-11-03,1880.63
2016-11-04,1881.61
2016-11-07,1874.97
2016-11-08,1872.31
2016-11-09,1868.59
2016-11-10,1856.10
2016-11-11,1848.18
2016-11-14,1838.86
2016-11-16,1837.18
2016-11-17,1840.70
2016-11-18,1837.89
2016-11-21,1829.27
2016-11-22,1837.07
2016-11-23,1831.54
2016-11-24,1830.68
2016-11-25,1830.15
2016-11-28,1832.67
2016-11-29,1835.09
2016-11-30,1837.13
2016-12-01,1836.30
2016-12-02,1839.25
2016-12-05,1832.16
2016-12-06,1835.81
2016-12-07,1835.49
2016-12-08,1837.00
2016-12-09,1848.07
2016-12-12,1851.65
2016-12-13,1843.10
2016-12-14,1842.65
2016-12-15,1848.56
2016-12-16,1848.94
2016-12-19,1845.44
